No,Group,Stage X,Stage Y,Stage Z
1,0,221,209,244
2,0,319,56,249
3,0,260,294,222
4,0,334,371,195
5,1,350,372,192
6,2,307,-137,282
7,2,692,-127,204
8,2,37,-71,325
9,2,105,-80,313
10,2,615,-121,219
11,2,469,-87,242
12,2,390,-77,256
13,2,322,-64,268
14,2,544,-94,228
15,2,95,-27,307
16,2,846,-101,170
17,2,518,-53,227
18,2,788,-76,177
19,2,692,-68,195
20,2,893,-83,157
21,2,373,-4,248
22,2,226,0,276
23,2,864,-51,158
24,2,779,-29,171
25,2,525,-7,218
26,2,872,-19,151
27,2,496,38,217
28,2,-15,72,313
29,2,297,63,252
30,2,652,24,188
31,2,740,26,170
32,2,15,99,302
33,2,900,13,140
34,2,555,63,201
35,2,862,46,143
36,2,507,87,206
37,2,763,70,159
38,2,-13,146,300
39,2,363,105,232
40,2,829,84,143
41,2,285,125,244
42,2,582,117,187
43,2,898,86,129
44,2,680,119,167
45,2,170,171,260
46,2,859,139,128
47,2,558,156,185
48,2,195,214,248
49,2,719,152,154
50,2,915,142,117
51,2,520,185,188
52,2,584,183,176
53,2,607,209,167
54,2,720,191,148
55,2,140,265,251
56,2,269,287,222
57,2,415,238,200
58,2,799,210,129
59,2,575,253,166
60,2,651,229,155
61,2,518,248,178
62,2,753,242,133
63,2,324,274,213
64,2,699,244,143
65,2,405,274,197
66,2,852,229,115
67,2,141,310,243
68,2,364,297,201
69,2,626,276,153
70,2,332,320,204
71,2,60,354,252
72,2,891,267,101
73,2,356,366,191
74,2,471,311,177
75,2,554,308,162
76,2,685,291,138
77,2,753,299,124
78,2,836,284,109
79,2,958,281,86
80,2,177,372,226
81,2,261,359,211
82,2,890,303,96
83,2,686,337,131
84,2,454,358,173
85,2,840,344,99
86,2,781,369,107
87,2,623,383,136
88,2,952,351,76
89,2,229,440,205
90,2,483,400,161
91,2,896,372,83
92,2,692,397,120
93,2,451,427,163
94,2,585,415,138
95,2,754,439,101
96,2,93,483,225
97,2,913,406,74
98,2,355,484,173
99,2,812,422,92
100,2,588,464,130
101,2,534,478,138
102,2,425,493,157
103,2,75,539,219
104,2,860,462,76
105,2,123,547,208
106,2,366,528,163
107,2,631,508,114
108,2,806,496,81
109,2,912,491,61
110,2,850,510,70
111,2,518,552,129
112,2,335,604,157
113,2,765,540,82
114,2,798,541,76
115,2,947,543,46
116,2,624,581,104
117,2,897,573,51
118,2,564,615,110
119,2,-120,884,202
